Feature,Importance
Bit_1589,0.0010299425
Bit_394,0.0010278462
Bit_519,0.0010277046
Bit_301,0.0010246302
Bit_522,0.0010241718
Bit_864,0.001018647
Bit_407,0.0010136679
Bit_477,0.0010037364
Bit_1327,0.0010029181
Bit_100,0.0009993804
Bit_997,0.0009946162
Bit_415,0.0009924939
Bit_1096,0.0009852595
Bit_1024,0.0009804091
Bit_1855,0.0009784198
Bit_876,0.0009768012
Bit_292,0.00097165594
Bit_621,0.0009687949
Bit_343,0.000968014
Bit_1179,0.00096780935
Bit_57,0.00096780364
Bit_490,0.0009529067
tpsa,0.000950541
Bit_1934,0.00094817835
Bit_896,0.00094513234
Bit_1849,0.0009435352
Bit_1554,0.0009398403
Bit_1058,0.000937849
Bit_1718,0.00093266874
Bit_945,0.00093115185
Bit_1604,0.000931102
Bit_289,0.0009298618
Bit_1921,0.000929279
Bit_899,0.0009264712
Bit_1284,0.0009251177
Bit_1417,0.0009147068
Bit_528,0.00091403804
Bit_1447,0.0009132032
Bit_1176,0.0009124836
Bit_1045,0.00091191026
Bit_1324,0.00090991164
Bit_45,0.00090674154
Bit_1387,0.00090291025
Bit_54,0.0009017296
Bit_586,0.0008991304
Bit_1634,0.000897725
Bit_352,0.0008947929
Bit_1206,0.0008872502
Bit_1573,0.00088513835
Bit_725,0.0008842506
Bit_1019,0.000879057
Bit_918,0.0008778195
Bit_1298,0.0008776375
Bit_457,0.0008752022
Bit_1911,0.00087363354
Bit_579,0.0008670788
Bit_1357,0.0008670285
Bit_747,0.0008665393
Bit_184,0.00086612423
Bit_1042,0.00086601893
Bit_334,0.0008657839
Bit_806,0.0008648847
Bit_135,0.000862779
Bit_383,0.0008605062
Bit_1980,0.0008581721
Bit_1154,0.000856256
Bit_1456,0.00085308566
Bit_736,0.00085218303
Bit_548,0.00084869604
Bit_1476,0.00084464985
Bit_1531,0.00083863846
Bit_1237,0.0008358558
Bit_783,0.0008346462
Bit_1445,0.0008300807
Bit_887,0.0008268169
Bit_1028,0.00082177424
Bit_2034,0.00081690523
Bit_1446,0.0008119224
Bit_1620,0.00081151753
Bit_133,0.0008090683
Bit_1477,0.00080814067
Bit_197,0.00080744846
Bit_983,0.0008055591
Bit_1838,0.0008045836
Bit_883,0.00080270483
Bit_1708,0.0008022191
Bit_1274,0.00080206175
Bit_350,0.0008009729
Bit_1928,0.00080015993
Bit_1240,0.0007952565
Bit_319,0.0007934591
Bit_771,0.0007921654
Bit_1409,0.00078975875
Bit_191,0.0007894771
Bit_937,0.00078783254
Bit_1093,0.0007846676
Bit_650,0.0007843441
Bit_1487,0.0007843212
Bit_1325,0.00078413053
Bit_1108,0.0007812354
Bit_116,0.000780089
Bit_837,0.0007795477
Bit_1060,0.00077709294
Bit_1145,0.0007770633
Bit_679,0.00077545363
Bit_1243,0.000771747
Bit_1803,0.0007700963
Bit_987,0.0007697035
Bit_624,0.00076882273
Bit_28,0.0007676634
Bit_43,0.00076660415
Bit_1991,0.00076591293
Bit_675,0.00076264975
Bit_1171,0.0007597092
Bit_885,0.0007578277
Bit_474,0.0007576039
Bit_677,0.00075687503
Bit_1181,0.0007548462
Bit_1312,0.00075465435
Bit_838,0.00075433665
Bit_83,0.0007529438
Bit_1618,0.00075229455
Bit_711,0.00075097854
Bit_251,0.00075004686
Bit_118,0.00074888364
Bit_1364,0.0007477461
Bit_1993,0.0007432838
Bit_1795,0.00073948666
Bit_218,0.0007388116
Bit_694,0.0007379665
Bit_687,0.000737818
Bit_38,0.0007370602
Bit_1419,0.0007357603
Bit_843,0.000734274
Bit_935,0.0007303739
Bit_965,0.0007290985
Bit_1747,0.0007288869
Bit_335,0.0007288203
Bit_1285,0.0007281415
Bit_103,0.0007264305
Bit_759,0.00072528695
Bit_1482,0.00072403165
Bit_1422,0.000721325
Bit_1009,0.0007212567
Bit_1257,0.0007186767
Bit_299,0.0007166257
Bit_739,0.00071646867
Bit_27,0.0007137818
Bit_1738,0.0007118233
Bit_472,0.0007115026
Bit_97,0.0007112413
Bit_115,0.00070972904
Bit_1775,0.000708331
Bit_484,0.00070829847
Bit_561,0.0007079592
Bit_1536,0.0007050237
Bit_1260,0.0007028736
Bit_567,0.0007010443
Bit_95,0.0007009101
Bit_1172,0.0006999575
Bit_521,0.00069944473
Bit_1603,0.00069774414
Bit_1163,0.00069762446
Bit_1101,0.0006971898
Bit_341,0.0006961342
Bit_1059,0.0006935947
Bit_1352,0.0006925334
Bit_940,0.0006908193
HydrationFreeEnergy_FreeSolv,0.0006891313
Bit_1996,0.00068836636
Bit_231,0.0006807569
Bit_104,0.0006806151
Bit_1057,0.0006757718
Bit_1808,0.000675607
Bit_461,0.0006731391
Bit_253,0.0006725968
Bit_144,0.0006695349
Bit_1056,0.00066867884
Bit_1847,0.0006668754
Bit_1619,0.0006667243
Bit_257,0.00066659285
Bit_863,0.0006645305
Bit_811,0.0006637298
Bit_1238,0.00066220533
Bit_996,0.0006603929
Bit_708,0.00065784156
Bit_1070,0.0006569813
Bit_1493,0.00065568613
Bit_89,0.0006551815
molecular_weight,0.00065428065
Bit_1168,0.0006528228
Bit_145,0.00065044593
Bit_1897,0.00064977066
Bit_387,0.0006473634
Bit_488,0.0006461083
Bit_526,0.0006425848
Bit_695,0.0006406702
Bit_774,0.00064052304
Bit_1839,0.0006386663
Bit_294,0.00063828117
Bit_1123,0.0006377912
Bit_781,0.00063682545
Bit_102,0.00063658546
Bit_396,0.0006339555
Bit_724,0.00063376274
Bit_198,0.00063360616
Bit_1500,0.0006333648
Bit_1888,0.0006292302
Bit_2041,0.0006286028
Bit_597,0.0006252863
Bit_852,0.00062326004
Bit_1793,0.0006229231
Bit_346,0.0006223039
Bit_960,0.00062199694
Bit_286,0.00062189024
Bit_248,0.0006218394
Bit_881,0.00062159833
Bit_1000,0.00061963504
Bit_114,0.0006162586
Bit_401,0.0006153262
Bit_1681,0.0006151453
Bit_99,0.0006144163
Bit_2001,0.0006141828
Solubility_AqSolDB,0.00061376445
Bit_2022,0.0006133417
Bit_1665,0.00061215594
Bit_571,0.0006112223
Bit_1128,0.0006111408
Bit_1959,0.0006098529
Bit_1895,0.00060474913
Bit_479,0.0005976375
Bit_832,0.0005955216
Bit_1106,0.0005951417
Bit_1287,0.0005950554
Bit_684,0.00059451966
Bit_961,0.00059445953
Bit_1148,0.0005932938
Bit_879,0.00059093395
Bit_1405,0.00058818253
Bit_142,0.00058789167
Bit_1046,0.0005849663
Bit_1453,0.0005836459
Bit_775,0.0005834122
Bit_1950,0.00058240874
Bit_34,0.0005821765
Bit_1414,0.0005821135
Bit_589,0.0005820378
Bit_1136,0.00058121094
Bit_1199,0.00058113976
Bit_233,0.0005790512
