Feature,Importance
logP,0.03897453944778844
Bit_1313,0.02689906680779542
Bit_745,0.024634458135580784
Bit_381,0.021801496899936147
Bit_1602,0.01686464031970853
HydrationFreeEnergy_FreeSolv,0.016522666577068246
tpsa,0.014853697622280495
Solubility_AqSolDB,0.014223431885833247
hydrogen_bond_donors,0.014140887056734795
Bit_378,0.01327995160280505
molecular_weight,0.012385475214576502
Bit_13,0.010676064391354758
hydrogen_bond_acceptors,0.009712794733501166
stereo_centers,0.009596396701066873
Bit_31,0.007650933131536912
Bit_1778,0.00763437653772758
Bit_650,0.007632319806919013
Bit_1832,0.007542550442014004
Bit_1034,0.007267432479974878
Bit_1073,0.0067952805838182966
Bit_878,0.006764078884910844
Bit_314,0.0067565816566697275
Bit_2007,0.00558422142465333
Bit_1697,0.005551280208606582
Bit_25,0.0054983338190986875
Bit_504,0.005315199250781436
Bit_926,0.0052247493629804884
Bit_1308,0.0052167984822234885
Bit_835,0.0051352732785437255
Bit_2033,0.004960142103922186
Bit_455,0.004949092119023816
Bit_1791,0.004916494585046609
Bit_533,0.004865091987801787
Bit_1027,0.004634082193495345
Bit_102,0.004564285917133442
Bit_1422,0.0044952043092746094
Bit_1712,0.004240408738536112
Bit_119,0.0042040398967551585
Bit_1480,0.004058508138365849
Bit_1035,0.003785420615260683
Bit_603,0.003738660760916746
Bit_1048,0.0036659778074687194
Bit_1385,0.0036384473035771547
Bit_322,0.003622803544301668
Bit_1452,0.0035745248015669356
Bit_408,0.003566094431460777
Bit_1233,0.0035425491763236387
Bit_1917,0.003526743529954022
Bit_1145,0.003501589535097276
Bit_416,0.0034637563785431535
Bit_1052,0.0034359126505322285
Bit_750,0.003387350237591276
Bit_1998,0.0033738686271209076
Bit_1783,0.003336969173280274
Bit_1745,0.0033366394104467384
Bit_116,0.0033160556242396158
Bit_1458,0.0032679032003769424
Bit_898,0.0032464288728718963
Bit_1094,0.003244105214292846
Bit_1816,0.0032319012604366854
Bit_162,0.0032249321766413415
Bit_804,0.0031728709293820097
Bit_646,0.0031558892874346284
Bit_787,0.0031433586615409012
Bit_1309,0.003050338274501161
Bit_1256,0.003032201870817073
Bit_474,0.0030088135373796516
Bit_656,0.002980598456165264
Bit_1660,0.002935952969051002
Bit_1152,0.002905941662141335
Bit_1855,0.0028890341299541373
Bit_713,0.002848508470487589
Bit_1926,0.002819004691403848
Bit_1019,0.0027696170711438172
Bit_1911,0.002765938626613269
Bit_1443,0.0027573893650491847
Bit_486,0.0027362627397107685
Bit_1564,0.0026818833137962394
Bit_718,0.0026341159621965154
Bit_1114,0.002627070314853469
Bit_2,0.0026225941164992085
Bit_976,0.0026212771836958515
Bit_1905,0.0026188152079002747
Bit_1279,0.0025862629536947145
Bit_1059,0.0025761845654799446
Bit_675,0.002574352023986683
Bit_1482,0.0025710850947456274
Bit_680,0.0025614578889102883
Bit_341,0.002539448199070743
Bit_903,0.0025351984128283243
Bit_823,0.0025335855760073166
Bit_875,0.0025195676036138532
Bit_721,0.0025059516138820595
Bit_1640,0.0025030758497572693
Bit_1928,0.002495363367419066
Bit_949,0.002466806610069982
Bit_1815,0.0024568698023161137
Bit_695,0.002397833260983422
Bit_935,0.0023906346218364543
Bit_905,0.0023888737781184257
Bit_694,0.0023736324499207422
Bit_845,0.002359962684187569
Bit_1532,0.002351364326800711
Bit_1164,0.002302342193836241
Bit_1803,0.002293913575157979
Bit_978,0.002269320533999214
Bit_1292,0.002230579188324367
Bit_952,0.002224975414362995
Bit_1160,0.0022231468873665037
Bit_1733,0.00221423208735764
Bit_147,0.0022047369520447214
Bit_1028,0.0021905386549466665
Bit_734,0.002159658737651226
Bit_561,0.0021414719326049874
Bit_1607,0.0021348175187196152
Bit_9,0.002132505447423529
Bit_1639,0.002126379568934061
Bit_222,0.0021041655403838274
Bit_145,0.002090971833743288
Bit_885,0.0020482957845405505
Bit_1941,0.002043132639080075
Bit_1477,0.0020369323234091176
Bit_389,0.002014151903759471
Bit_760,0.0020097351856763978
Bit_1600,0.00197471363387028
Bit_1494,0.0019318882174913358
Bit_1768,0.0019036501242970475
Bit_571,0.0019005953992215507
Bit_294,0.0018873794526344189
Bit_1326,0.0018797938262372818
Bit_1427,0.0018786321584242534
Bit_622,0.0018545658371143733
Bit_1328,0.001849090377436109
Bit_896,0.0018330002051897137
Bit_1951,0.001831692789145565
Bit_80,0.0018133067952355313
Bit_1236,0.0017690784574309738
Bit_1299,0.0017672411421473155
Bit_114,0.0017668322922489896
Bit_1142,0.0017498883064349473
Bit_1239,0.0017320491471885732
Bit_748,0.0017224247154701967
Bit_1325,0.0017128903671555522
Bit_272,0.0017059976954806432
Bit_586,0.0016993231482875406
Bit_970,0.0016920301402106356
Bit_1257,0.0016764287756656632
Bit_1722,0.001669335253055588
Bit_1976,0.0016693116012925322
Bit_1039,0.0016648183252246664
Bit_1775,0.0016623241009244857
Bit_1357,0.001655797018686941
Bit_96,0.0016351903881695836
Bit_1534,0.0016320671203610443
Bit_807,0.0016292833986507906
Bit_1072,0.0016151925967818302
Bit_1088,0.0016006270555103546
Bit_1199,0.0015874642727060028
Bit_1446,0.0015783177620055707
Bit_841,0.0015703260942324206
Bit_1097,0.0015634257801078139
Bit_1648,0.0015465494302501985
Bit_1130,0.001543237776764054
Bit_352,0.0015361861958909416
Bit_473,0.001521437180676759
Bit_1136,0.0015121449884659395
Bit_1373,0.0015076583118778662
Bit_1738,0.001470201593152832
Bit_519,0.0014617467276788795
Bit_1985,0.0014310429553767842
Bit_728,0.001421987245760395
Bit_1453,0.001414119830107852
Bit_1092,0.0013908650477880186
Bit_52,0.0013761443886982612
Bit_231,0.0013670077880703839
Bit_1645,0.001318281137057205
Bit_26,0.0013177633730973152
Bit_1984,0.0013028166955730257
Bit_876,0.001292568640682658
Bit_1980,0.001262571493487687
Bit_1476,0.0012359888611487703
Bit_1057,0.001235055270287056
Bit_1314,0.001229260377745545
Bit_1750,0.0012164384836642755
Bit_328,0.001213521970357545
Bit_105,0.0012025996170894233
Bit_1536,0.0012019860671734946
Bit_1274,0.0011681050343211887
Bit_1934,0.0011634801346794004
Bit_203,0.0011625914690172323
Bit_1060,0.0011489819829344303
Bit_1747,0.0011399779676850848
Bit_2035,0.0011265731631190591
Bit_781,0.0011092539209899437
Bit_1993,0.001097449473973009
Bit_1475,0.0010974325889454072
Bit_1874,0.0010953229331727423
Bit_477,0.0010866566652919987
Bit_1717,0.0010786792804108605
Bit_233,0.0010773313310983679
Bit_1181,0.001067986716897308
Bit_1604,0.001065068896515748
Bit_1538,0.001063370973422898
Bit_1391,0.0010628609138024373
Bit_54,0.0010624957784556618
Bit_739,0.0010593694871751914
Bit_551,0.0010568509073679213
Bit_327,0.0010554860057794431
Bit_1811,0.001047915241601839
Bit_1573,0.0010353257622233564
Bit_1162,0.0010281209870161455
Bit_1825,0.001017160504656911
Bit_1420,0.001009048970505243
Bit_246,0.0009945281071524802
Bit_14,0.0009878233323010366
Bit_1942,0.0009816262856949527
Bit_562,0.0009716509164761779
Bit_1582,0.0009612433416232876
Bit_699,0.000951442733767902
Bit_252,0.0009262683756167155
Bit_1417,0.0009201077648755497
Bit_704,0.0009051750522596652
Bit_836,0.0008928550450943519
Bit_881,0.0008685657949427169
Bit_525,0.0008655269543658672
Bit_564,0.0008643321830931977
Bit_636,0.0008630508283796523
Bit_751,0.0008570295217290148
Bit_41,0.0008515084805578958
Bit_193,0.0008462092502127369
Bit_361,0.0008456516381090898
Bit_1,0.0008259607850901464
Bit_1617,0.0008209661794639554
Bit_484,0.0008126893276775767
Bit_736,0.0008108583555220198
Bit_206,0.0008101474959445218
Bit_1618,0.0007994864864477381
Bit_1087,0.0007881987441897997
Bit_1179,0.0007879746945785737
Bit_387,0.0007860146920139984
Bit_58,0.0007836314511057011
Bit_1959,0.000776686502892772
Bit_1754,0.0007739159058625157
Bit_1840,0.0007730143032285768
Bit_141,0.0007717719299901242
Bit_1686,0.0007662595632228262
Bit_1683,0.0007640865890746635
Bit_522,0.0007594365003546309
Bit_283,0.0007525482807744856
Bit_1171,0.000744957631687299
Bit_472,0.0007360316458983018
Bit_1594,0.0007344802996424873
Bit_1520,0.0007325109317430987
Bit_960,0.0007274195635968652
Bit_1817,0.0007252497553161993
Bit_2043,0.0007150833195496842
Bit_1096,0.0007148524802226625
Bit_243,0.0007135742550777203
Bit_1659,0.0007064610050575546
Bit_1298,0.0007057282106442961
Bit_1770,0.0007011521819766724
Bit_1921,0.0007007221738870106
Bit_981,0.0007004355307071162
Bit_310,0.0007000542376555015
Bit_1163,0.0006978704339950847
Bit_1839,0.0006935048941231876
Bit_843,0.0006897888010839701
Bit_1000,0.0006864130069139475
Bit_394,0.0006830153877192482
Bit_305,0.0006781667738528234
Bit_579,0.0006780544042195647
Bit_1702,0.0006780044956566708
Bit_59,0.0006733044452220072
Bit_289,0.0006664607587028658
Bit_255,0.0006636089895018504
Bit_143,0.0006581299629245856
Bit_771,0.0006579781937165149
Bit_1696,0.0006555770671632715
Bit_2000,0.0006555407924361725
Bit_911,0.0006534721383842284
Bit_350,0.0006407436229898836
Bit_667,0.0006393111121909173
Bit_870,0.000638066588577222
Bit_354,0.000631776774147442
Bit_343,0.0006291892767561104
Bit_1915,0.0006257125077358053
Bit_1528,0.0006245872513365833
Bit_932,0.0006245530566762327
Bit_973,0.0006204874814762111
Bit_1695,0.000618762087208973
Bit_407,0.0006175443842056163
Bit_38,0.0006136033285643843
Bit_1718,0.0006109165513109122
Bit_1665,0.000610794895585846
Bit_191,0.0006055509509134314
Bit_1972,0.0006049730427641366
Bit_490,0.0006030476937702944
Bit_249,0.0005999995235208064
Bit_598,0.0005990569454477439
Bit_333,0.0005975778417360307
Bit_197,0.0005964850745184523
Bit_1988,0.0005952029551769883
Bit_1064,0.0005943717206869167
Bit_202,0.0005726424655960416
Bit_1923,0.0005704485127150992
Bit_253,0.0005659907573292143
