Smiles,pChEMBL Value,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,stereo_centers,tpsa,HydrationFreeEnergy_FreeSolv,Solubility_AqSolDB
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.4,270.24,2.576800000000001,5,3,0,90.9,-15.5607395,-3.9397378
Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)c(F)c1,6.53,284.29,3.5917200000000014,3,2,0,57.75,-12.343516,-4.283034
O/N=C/c1cn(-c2ccc(O)cc2)c2ccccc12,5.72,252.27300000000002,3.1442000000000005,3,2,0,57.75,-14.060099,-4.220701
CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,7.41,446.56600000000014,5.332100000000006,4,1,1,35.940000000000005,-11.935621,-4.6862526
Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,6.94,240.25799999999998,3.819420000000001,3,2,0,53.6,-11.801531,-4.255651
C[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H](C)[C@@H]2c2ccc(O)cc2)cc1,8.82,459.5860000000002,5.9819000000000075,5,2,4,62.16000000000001,-16.154495,-4.4067917
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C=C)[C@H]3CC[C@@]21C,6.82,326.48000000000013,3.840500000000003,2,2,7,40.46,-10.279345,-4.981988
Cc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21,8.55,296.3660000000001,4.423620000000002,3,2,3,49.69,-11.813353,-4.0760865
CCCCC1=C2c3ccc(O)cc3CC2(Cc2ccccc2)CCC1=O,6.58,346.4700000000001,5.484100000000004,2,1,1,37.3,-9.547023,-5.453683
O/N=C/c1ccc(-c2ccc(O)cc2)c2ccccc12,7.02,263.29600000000005,4.020500000000002,3,2,0,52.82000000000001,-13.508577,-4.9918838
O=C1C(c2ccc(O)cc2)=C(Br)c2cc(O)ccc21,8.28,317.13800000000003,3.5573000000000006,3,2,0,57.53,-12.904605,-4.7728887
C[C@@H]1CCN([C@@H](C)COc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,9.05,491.60300000000024,6.367000000000008,5,2,5,62.16000000000001,-15.306506,-4.5584044
Cc1cccc(NC2=NC(=O)/C(=C3/C(=O)N(C)c4ccccc43)S2)c1C,4.48,363.44200000000006,3.732440000000002,4,1,0,61.77,-9.589455,-6.1615453
NC(=O)C1(N2CCCCC2)CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,4.42,449.4180000000001,3.8828000000000022,5,1,0,62.46000000000001,-12.049917,-4.688535
CCc1nnc2n1N=C(c1ccc(-c3cc(Cl)ccc3Cl)o1)CS2,4.36,379.27200000000005,4.765400000000002,5,0,0,56.21,-9.782521,-5.8738837
CCc1ccc(NC(=O)c2noc3c2CCC3)cc1,5.1,256.30499999999995,2.9780000000000015,3,1,0,55.13,-7.334503,-5.4765215
C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccc(F)cc2)(C(=O)NCc2ccc(Cl)c(Cl)c2)C1=O,5.14,533.3580000000002,5.609300000000004,4,1,2,75.71000000000001,-8.359961,-6.3182306
CCC(=C(c1ccc(O)cc1)c1ccc(/C=C/C(=O)NCCCNC(=O)CCCn2c(=S)[nH]c3ccccc3c2=O)cc1)c1ccccc1,8.4,672.8510000000003,7.249890000000007,5,4,0,116.22,-21.760778,-6.4906564
CCC(=C(c1ccc(O)cc1)c1ccc(/C=C/C(=O)NCCCCCNC(=O)CCc2nc3cc(O)ccc3[nH]2)cc1)c1ccccc1,8.89,642.8000000000004,7.391900000000008,5,5,0,127.34,-22.71081,-5.6499166
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,9.48,272.3879999999999,3.6092000000000026,2,2,5,40.46,-10.623899,-4.1662416
CCC(=C(c1ccc(O)cc1)c1ccc(/C=C/C(=O)NCCCCCNC(=O)CCc2nc3cc(O)ccc3[nH]2)cc1)c1ccccc1,7.44,642.8000000000004,7.391900000000008,5,5,0,127.34,-22.71081,-5.6499166
CCC(=C(c1ccc(O)cc1)c1ccc(/C=C/C(=O)NCCCCCNC(=O)CCc2nc3cc(O)ccc3[nH]2)cc1)c1ccccc1,6.9,642.8000000000004,7.391900000000008,5,5,0,127.34,-22.71081,-5.6499166
Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)cc1,6.57,266.3,3.4526200000000014,3,2,0,57.75,-13.326289,-4.2929096
O/N=C/c1ccc(-c2ccc(O)cc2)c2sccc12,7.43,269.32500000000005,4.082000000000002,4,2,0,52.82000000000001,-13.360647,-4.923282
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)O,6.72,2229.5309999999995,-10.08485999999989,32,35,20,1001.1900000000003,-113.1553,-2.0726898
Cc1c([C@H](C)NC(=O)Cc2c(-c3ccccc3)[nH]c3ccccc23)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,8.7,640.8280000000004,8.136520000000006,4,3,1,82.52,-18.110886,-5.0336084
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2c(OCCCN3CCCCC3)cccc12,7.16,539.7200000000004,6.475300000000006,4,3,1,77.59,-15.971411,-4.767947
C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2cccc(OCCN3CCCCC3)c12,5.95,525.6930000000003,6.085200000000006,4,3,1,77.59,-16.344078,-4.800981
C[C@]12CC[C@@H]3c4ccc(O)cc4C(=O)C[C@H]3[C@@H]1CC[C@@H]2O,4.9,286371,3.249400000000002,3,2,5,57.53,-12.552031,-4.0532084
O=C(Cn1c(=O)oc2cc(S(=O)(=O)N3CCCCCC3)ccc21)NC1CCCCC1,4.89,435.54600000000033,2.6081000000000003,5,1,0,101.61999999999999,-12.191684,-4.4305053
O=c1cc(-c2ccco2)oc2c1ccc1ccccc12,4.91,262264,4.206200000000003,3,0,0,43.35,-6.728452,-5.4082456
COc1cc([C@@H]2C(=O)N(c3ccc(O)cc3)[C@H]2c2ccc(O)cc2)cc(OC)c1OC,5.83,421.4490000000002,3.995300000000003,6,2,2,88.46000000000001,-16.66127,-4.2462883
COc1cc(O)cc2cc(-c3ccc(O)c(F)c3)oc12,6.0,274247,3.6587000000000005,4,2,0,62.83,-11.429966,-4.3280134
C[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,8.62,459.5860000000002,5.8394000000000075,5,2,4,62.16000000000001,-16.00745,-4.452903
