Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL183152,,299.71,0.0,4.23,N#CCc1cc(O)c(Cl)c2cc(-c3ccc(O)cc3)oc12,IC50,'=',625.0,nM,6.2,20.7,0.4,1.97,8.02,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137038,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,625.0
CHEMBL360315,,459.59,1.0,5.98,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OC[C@H](C)N3CCCC3)cc2)[C@H]1c1ccc(O)cc1,IC50,'=',1.4,nM,8.85,19.26,0.36,2.87,14.24,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142044,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1.4
CHEMBL203123,,310.39,0.0,4.87,C=CCC1(C)Oc2c(ccc(O)c2C)-c2c(C)cc(O)c(C)c21,IC50,'=',157.0,nM,6.8,21.92,0.4,1.93,13.69,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,157.0
CHEMBL206547,,270.33,0.0,4.23,CCC1Oc2c(ccc(O)c2C)-c2ccc(O)c(C)c21,IC50,'=',101.0,nM,7.0,25.88,0.48,2.77,14.08,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,101.0
CHEMBL380362,,256.3,0.0,3.84,Cc1cc(O)cc2c1-c1ccc(O)c(C)c1OC2C,IC50,'=',1210.0,nM,5.92,23.09,0.43,2.08,11.91,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,1210.0
CHEMBL383518,,270.28,0.0,3.23,CCc1cc(O)cc2c(=O)oc3c(C)c(O)ccc3c12,IC50,'=',1780.0,nM,5.75,21.27,0.39,2.52,8.14,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,1780.0
CHEMBL206500,,270.28,0.0,3.23,CCc1c(O)ccc2c1oc(=O)c1c(C)c(O)ccc12,IC50,'=',229.0,nM,6.64,24.57,0.45,3.41,9.4,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,229.0
CHEMBL204118,,359.22,1.0,5.15,CC/C=C/c1cc2c(cc1Br)c(=O)oc1c(C)c(O)ccc12,IC50,'=',1090.0,nM,5.96,16.6,0.37,0.81,11.82,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139663,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,1090.0
CHEMBL5555317,,1200.37,,,Cc1ncsc1-c1ccc([C@@H](C)NC(=O)[C@H]2C[C@H](O)CN2C(=O)[C@H](NC(=O)COCCOCCOCCOc2ccc(N(CC(F)(F)F)S(=O)(=O)C3CC4OC3C(c3ccc(-n5ccnc5)cc3)=C4c3ccc(O)cc3)cc2)C(C)(C)C)cc1,Ki,'=',78.0,nM,7.11,5.92,,,,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL5512683,1,Scientific Literature,J Med Chem,2024.0,,TIME = 2.0 hr,DEGRADER,,78
CHEMBL81,RALOXIFENE,473.59,1.0,6.08,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',0.89,nM,9.05,19.11,0.36,2.97,12.93,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139599,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,0.89
