Feature,Importance
logP,0.044302371172634386
Bit_1313,0.026164487444218024
Bit_381,0.025928642647223152
Bit_745,0.023591022663476693
HydrationFreeEnergy_FreeSolv,0.017345516777200618
Bit_1602,0.017090422182474863
Bit_378,0.01696920317028773
tpsa,0.015551584512187766
Solubility_AqSolDB,0.01496562892296861
molecular_weight,0.013064248083384791
hydrogen_bond_donors,0.012444645786374693
stereo_centers,0.010184353832565695
Bit_13,0.010050159152578338
hydrogen_bond_acceptors,0.010045230278740982
Bit_650,0.009491022197215569
Bit_1832,0.009195338811443493
Bit_31,0.008554113495164394
Bit_314,0.00797524728825541
Bit_1778,0.007512903625193768
Bit_1034,0.007411008453511258
Bit_2007,0.007310650090784026
Bit_1073,0.006873877101283116
Bit_1027,0.006857789269024452
Bit_1697,0.00665499258228633
Bit_533,0.006613480457111892
Bit_878,0.006467464311579399
Bit_25,0.006355735582437444
Bit_835,0.005904069057932166
Bit_926,0.005518778390554812
Bit_2033,0.005425138741982809
Bit_455,0.005384403054835879
Bit_1791,0.005344913451171268
Bit_119,0.005017641845351227
Bit_1712,0.004887818146706332
Bit_1308,0.004709821095096158
Bit_603,0.00469564256125471
Bit_322,0.0046736881142182335
Bit_1035,0.004434095515776675
Bit_504,0.004382382107401303
Bit_1233,0.004369258756972091
Bit_1998,0.004340565818369011
Bit_102,0.004308264293455915
Bit_1816,0.004074734573685279
Bit_1048,0.0040440793285189324
Bit_1917,0.004023557722964777
Bit_1422,0.003989217221391202
Bit_898,0.003944466067564357
Bit_1145,0.003926697142801952
Bit_416,0.003911455696488866
Bit_1783,0.0038965338925258694
Bit_1052,0.003841679931464599
Bit_162,0.0038198096250397274
Bit_116,0.0036478684439208817
Bit_1660,0.0036389637700943865
Bit_952,0.003614248210745029
Bit_1458,0.0035668397484397056
Bit_1745,0.003561267160094527
Bit_1480,0.0035241802994793055
Bit_787,0.003462055741498665
Bit_646,0.0033974092681782735
Bit_1028,0.0033144594397080747
Bit_1532,0.0033074463128155403
Bit_1452,0.0033051872771706773
Bit_1152,0.0032873625658147343
Bit_1443,0.003271942716535162
Bit_750,0.0032649376483279233
Bit_1019,0.0032012853100972316
Bit_718,0.003182931938748316
Bit_1815,0.0031139083013882133
Bit_1236,0.00309250401728047
Bit_656,0.0030805165061595532
Bit_875,0.003070160513696347
Bit_1256,0.0030127365151687634
Bit_1911,0.002989064619518681
Bit_1926,0.0029270596995965544
Bit_1385,0.002906494429722412
Bit_1855,0.0028820806909019307
Bit_1059,0.002881868966818909
Bit_341,0.0028454028707581348
Bit_804,0.002819927415612064
Bit_845,0.0028179238586508943
Bit_408,0.002808506672966176
Bit_675,0.002799610990057677
Bit_1160,0.002795171428992062
Bit_1114,0.002795062341206983
Bit_721,0.002768138382864764
Bit_1292,0.00276138661442787
Bit_680,0.002738196874500623
Bit_1309,0.002735577163204787
Bit_1279,0.002720912360460826
Bit_474,0.0026887235573202035
Bit_1094,0.002656903899529009
Bit_905,0.0026556454877522655
Bit_823,0.002633318920035992
Bit_1905,0.002631952603868576
Bit_486,0.0026203237741092137
Bit_949,0.002597358378284652
Bit_1928,0.0025727214281819886
Bit_1639,0.002550099945764686
Bit_9,0.002531853327510881
Bit_713,0.0025199408012558182
Bit_695,0.0024958202705799553
Bit_1941,0.0024660739564851563
Bit_903,0.0024627550996897075
Bit_1164,0.0024258357993402987
Bit_1803,0.00241697276788588
Bit_935,0.0024127179187529786
Bit_976,0.0024022880598924675
Bit_1768,0.0022836516281132912
Bit_294,0.00226951932447987
Bit_1564,0.002267309973629415
Bit_1482,0.002258821590633854
Bit_2,0.002237941536691693
Bit_147,0.0021677936147551386
Bit_734,0.002160851264692812
Bit_885,0.0021473466614704423
Bit_1097,0.0021223740295176798
Bit_1039,0.002112833699487803
Bit_896,0.002104045958418103
Bit_1951,0.002082313213159415
Bit_1427,0.0020605301897974955
Bit_978,0.0020256471617863914
Bit_1640,0.002024131787053939
Bit_694,0.0020068468522984628
Bit_1299,0.001998344704195593
Bit_145,0.0019973502164241513
Bit_1199,0.0019726886787415805
Bit_272,0.0019572629192880315
Bit_1088,0.0019473673147290256
Bit_352,0.001930856061556015
Bit_1136,0.0019172781051895094
Bit_114,0.0019170172250379245
Bit_622,0.0018841145466979758
Bit_1722,0.0018607999716870242
Bit_571,0.0018458842146815032
Bit_1477,0.0018428481708346312
Bit_1328,0.0018419759376814946
Bit_389,0.0018296789037925928
Bit_1072,0.0017846417243279743
Bit_1373,0.0017834713343143405
Bit_1645,0.0017807595974037355
Bit_1534,0.0017612887734253175
Bit_1325,0.0017458896654277856
Bit_1976,0.0017217968383726465
Bit_748,0.0017031631630241785
Bit_807,0.0016980063431375216
Bit_1607,0.0016976994508754212
Bit_96,0.0016884130741940191
Bit_1985,0.0016808591191572082
Bit_841,0.0016740980261050478
Bit_561,0.001664323295433591
Bit_80,0.0016556146920763618
Bit_222,0.0016409420106638674
Bit_1494,0.0016388008416482094
Bit_1257,0.0016290935980906303
Bit_1733,0.0016216714619028193
Bit_1775,0.001617819213243316
Bit_1750,0.0016038368408811067
Bit_1142,0.0015772942083715957
Bit_1959,0.0015767840018838975
Bit_970,0.0015668978321612867
Bit_519,0.0015521327408403592
