y_real,y_pred,erro
7.07,6.740912510496567,-0.3290874895034337
5.29,5.368504226255072,0.07850422625507214
6.94,6.535486168277393,-0.4045138317226078
6.89,6.595286268784314,-0.294713731215686
5.92,6.204801176860368,0.284801176860368
8.89,8.888301322751355,-0.001698677248645808
6.27,6.362706751539593,0.09270675153959385
7.7,8.638051623728082,0.9380516237280814
7.3,7.450584628589297,0.15058462858929733
6.7,6.105049353779215,-0.5949506462207852
7.57,7.398260368142387,-0.17173963185761298
6.1,5.996232163571703,-0.10376783642829679
5.98,6.154765732233569,0.17476573223356873
5.48,5.968298067306882,0.4882980673068813
7.02,6.609227317464816,-0.4107726825351836
4.72,4.910059492508853,0.190059492508853
8.7,8.66868727106629,-0.03131272893370962
6.71,6.803179751727745,0.09317975172774506
4.9,6.644081917684899,1.7440819176848983
5.7,6.128440937160182,0.4284409371601816
9.0,8.494585862638342,-0.5054141373616581
4.63,4.62762337225647,-0.00237662774352998
6.77,6.726235418448704,-0.04376458155129548
4.79,5.239638147780373,0.44963814778037303
4.58,5.957482730880095,1.3774827308800948
6.64,6.3248399894661365,-0.3151600105338632
9.62,9.437971333333339,-0.1820286666666604
9.14,8.66868727106629,-0.4713127289337109
7.64,7.106642874755064,-0.5333571252449358
9.32,8.212207308157431,-1.107792691842569
4.4,4.74888457946109,0.34888457946108975
8.08,7.849943091624579,-0.23005690837542137
8.82,8.041669842059841,-0.7783301579401591
8.8,8.73263809523802,-0.0673619047619809
4.33,4.913560166004561,0.5835601660045606
5.3,5.297985280947934,-0.0020147190520658498
4.58,5.405778833165957,0.8257788331659572
5.08,4.9765480040073475,-0.10345199599265253
8.72,8.490779444444444,-0.22922055555555687
9.17,9.278463333333361,0.10846333333336133
5.76,5.625595399551717,-0.13440460044828306
5.24,4.899584193362875,-0.34041580663712523
8.35,7.651427664911794,-0.6985723350882056
8.11,7.8726579508592005,-0.23734204914079893
5.89,5.093742544858646,-0.7962574551413537
4.7,5.135441587503726,0.43544158750372564
4.92,4.732329572709758,-0.18767042729024208
4.94,4.976019639282343,0.0360196392823422
6.79,5.9792562832277385,-0.8107437167722615
7.64,7.211774723307797,-0.4282252766922028
8.89,8.909822191142093,0.01982219114209194
6.24,7.284628348739757,1.0446283487397565
8.8,8.073697433765908,-0.726302566234093
8.37,7.2988943477163755,-1.0711056522836238
9.52,9.007771312645929,-0.5122286873540709
8.59,8.909822191142093,0.31982219114209265
5.18,5.075734307041523,-0.1042656929584771
8.37,7.731281292397699,-0.6387187076023002
6.92,6.70386075382519,-0.2161392461748095
9.8,9.39693600000001,-0.4030639999999899
6.82,7.102414069474621,0.2824140694746209
4.89,5.061162804139975,0.17116280413997575
6.96,5.855333347608002,-1.1046666523919981
6.52,6.897222671696356,0.37722267169635604
5.89,6.197957455820097,0.30795745582009726
6.16,7.4192626337295255,1.2592626337295254
8.74,8.740920707070712,0.0009207070707120124
4.52,5.044212257909799,0.5242122579097996
8.74,7.990035025239725,-0.7499649747602755
8.44,8.510221333333295,0.07022133333329528
8.43,8.209297605155319,-0.22070239484468068
6.76,7.908209488317074,1.1482094883170744
7.25,8.041669842059841,0.7916698420598411
4.07,4.255187050705496,0.1851870507054958
5.29,5.710903680366573,0.4209036803665729
7.68,7.072864047070873,-0.6071359529291271
6.55,6.2675054441229765,-0.2824945558770233
7.68,7.940548315468628,0.2605483154686281
5.02,4.831972597891408,-0.1880274021085917
7.12,6.897564879332424,-0.2224351206675763
5.47,5.617305333322949,0.14730533332294904
6.28,6.704574020399523,0.42457402039952274
4.74,5.1752008140204815,0.4352008140204813
5.15,5.01129231032639,-0.1387076896736099
6.92,6.694271156264287,-0.22572884373571256
5.13,6.043792154830656,0.9137921548306558
9.15,9.175475555555595,0.025475555555594553
8.55,8.093367190698821,-0.4566328093011798
5.17,4.717219164187789,-0.4527808358122112
7.85,7.902528949848754,0.052528949848754
4.56,5.1192045151112655,0.5592045151112659
8.4,7.755476441604477,-0.6445235583955231
7.43,6.981070732632098,-0.44892926736790173
7.48,7.493519260049846,0.013519260049845272
8.05,7.661664150944971,-0.3883358490550295
7.16,7.380422323096328,0.2204223230963276
7.09,6.495774290879869,-0.5942257091201313
